"cat_id","categoria","subcat_id_1","subcategoria_1","subcat_id_2","subcategoria_2","subcat_id_3","subcategoria_3","subcat_id_4","subcategoria_4","subcat_id_5","subcategoria_5","subcat_id_6","subcategoria_6"
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92130","Accesorios para el Interior","MLM45802","Cubre Asientos",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92130","Accesorios para el Interior","MLM430912","Cubre Asientos para Mascotas",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92130","Accesorios para el Interior","MLM189083","Cubre Tableros",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92130","Accesorios para el Interior","MLM22612","Cubre Volantes",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92130","Accesorios para el Interior","MLM438956","Extensiones de Volante",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92130","Accesorios para el Interior","MLM431032","Fundas de Palanca de Freno",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92130","Accesorios para el Interior","MLM437671","Instrumentos","MLM431973","Bases para Medidores",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92130","Accesorios para el Interior","MLM437671","Instrumentos","MLM437755","Relojes","MLM437757","Amperímetros",NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92130","Accesorios para el Interior","MLM437671","Instrumentos","MLM437755","Relojes","MLM429572","Medidores de Combustible",NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92130","Accesorios para el Interior","MLM437671","Instrumentos","MLM437755","Relojes","MLM22575","Tacómetros y Velocímetros",NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92130","Accesorios para el Interior","MLM437671","Instrumentos","MLM437755","Relojes","MLM437756","Otros",NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92130","Accesorios para el Interior","MLM437671","Instrumentos","MLM437672","Otros",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92130","Accesorios para el Interior","MLM92136","Parasoles",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92130","Accesorios para el Interior","MLM444310","Películas de Aislamiento",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92130","Accesorios para el Interior","MLM189875","Perillas para Volante",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92130","Accesorios para el Interior","MLM73292","Portavasos",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92130","Accesorios para el Interior","MLM430922","Protectores de Cinturones",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM5320","Accesorios de Auto y Camioneta","MLM92130","Accesorios para el Interior","MLM162997","Tapetes",NA,NA,NA,NA,NA,NA
